Participant,Session,Block,OnsetDelay,Condition,Distance,Display,Occlusion,Percept,Time
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,6.671957421850038
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,6.7719220934795885
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,9.607494652541163
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,9.69090599232618
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,10.608247246346536
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,10.70833040485195
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,13.143525858439034
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,13.226951814715221
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,14.110917710398326
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,14.19442545682773
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,15.311877982775059
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,15.395312335758945
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,16.029134087958937
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,16.162589183921
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,17.02994545871843
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,17.14668644143171
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,17.980607336981166
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,18.13072181209668
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,19.39836749342112
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,19.53177158715812
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,20.58263946465081
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,20.716038893550376
